"UM_CODE";"UM_NAMEF";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";"global_id";
"020850";"Плотинная улица";"Плотинная ул.";"Plotinnaya ulicza";"001";"";"0813";"77000000000229600";"58482320";
"020860";"Плотников переулок";"Плотников пер.";"Plotnikov pereulok";"002";"";"0101;0109";"77000000000229700";"58482321";
"020870";"улица Плющева";"ул. Плющева";"ulicza Plyushheva";"001";"";"0413";"77000000000043400";"58482322";
"020880";"улица Плющиха";"ул. Плющиха";"ulicza Plyushhixa";"001";"";"0109";"77000000000229800";"58482323";
"020895";"площадь Победы";"пл. Победы";"ploshhad` Pobedy'";"004";"";"0805";"77000000000229900";"58482324";
"020900";"Погодинская улица";"Погодинская ул.";"Pogodinskaya ulicza";"001";"";"0109";"77000000000230100";"58482325";
"020910";"Погонный проезд";"Погонный пр.";"Pogonny'j proezd";"003";"";"0403";"77000000000230200";"58482326";
"020920";"Погорельский переулок";"Погорельский пер.";"Pogorel`skij pereulok";"002";"";"0110";"77000000000230300";"58482327";
"020930";"Ивантеевская улица";"Ивантеевская ул.";"Ivanteevskaya ulicza";"001";"";"0403";"77000000000704100";"58482328";
"020940";"1-й проезд Подбельского";"1-й пр. Подбельского";"Pervy'j proezd Podbel`skogo";"003";"";"0403";"77000000000230400";"58482329";
"020960";"3-й проезд Подбельского";"3-й пр. Подбельского";"Tretij proezd Podbel`skogo";"003";"";"0403";"77000000000230600";"58482330";
"020970";"4-й проезд Подбельского";"4-й пр. Подбельского";"Chetvyorty'j proezd Podbel`skogo";"003";"";"0403";"77000000000230700";"58482331";
"020980";"5-й проезд Подбельского";"5-й пр. Подбельского";"Pyaty'j proezd Podbel`skogo";"003";"";"0403";"77000000000230800";"58482332";
"020990";"6-й проезд Подбельского";"6-й пр. Подбельского";"Shestoj proezd Podbel`skogo";"003";"";"0403";"77000000000230900";"58482333";
"020997";"7-й проезд Подбельского";"7-й пр. Подбельского";"Sed`moj proezd Podbel`skogo";"003";"";"0403";"77000000000376800";"58482334";
"021000";"улица Подвойского";"ул. Подвойского";"ulicza Podvojskogo";"001";"";"0106";"77000000000231100";"58482335";
"021010";"Подгорская набережная";"Подгорская наб.";"Podgorskaya naberezhnaya";"005";"";"0107";"77000000000341300";"58482336";
"021020";"Подколокольный переулок";"Подколокольный пер.";"Podkolokol`ny'j pereulok";"002";"";"0102;0107";"77000000000231200";"58482337";
"021030";"Подкопаевский переулок";"Подкопаевский пер.";"Podkopaevskij pereulok";"002";"";"0102";"77000000000231300";"58482338";
"021040";"Подмосковная улица";"Подмосковная ул.";"Podmoskovnaya ulicza";"001";"";"0903";"77000000000231400";"58482339";
"021041";"1-й Подольский переулок";"1-й Подольский пер.";"Pervy'j Podol`skij pereulok";"002";"";"0609";"77000000000341400";"58482340";
"021045";"Подольская улица";"Подольская ул.";"Podol`skaya ulicza";"001";"";"0509";"77000000000020600";"58482341";
"021046";"Подольское шоссе";"Подольское ш.";"Podol`skoe shosse";"006";"";"0609";"77000000000376900";"58482342";
"021047";"1-я Подрезковская улица";"1-я Подрезковская ул.";"Pervaya Podrezkovskaya ulicza";"001";"";"0212";"77000000000231600";"58482343";
"021048";"2-я Подрезковская улица";"2-я Подрезковская ул.";"Vtoraya Podrezkovskaya ulicza";"001";"";"0212";"77000000000231700";"58482344";
"021049";"3-я Подрезковская улица";"3-я Подрезковская ул.";"Tret`ya Podrezkovskaya ulicza";"001";"";"0212";"77000000000231800";"58482345";
"021080";"Подсосенский переулок";"Подсосенский пер.";"Podsosenskij pereulok";"002";"";"0102";"77000000000231900";"58482346";
"021090";"Подушкинский переулок";"Подушкинский пер.";"Podushkinskij pereulok";"002";"";"0304";"77000000000783000";"58482347";
"021100";"Подъёмная улица";"Подъёмная ул.";"Pod``yomnaya ulicza";"001";"";"0510";"77000000000030300";"58482348";
"021110";"Подъёмный переулок";"Подъёмный пер.";"Pod``yomny'j pereulok";"002";"";"0510";"77000000000030400";"58482349";
"021119";"Поклонная улица";"Поклонная ул.";"Poklonnaya ulicza";"001";"";"0805";"77000000000232200";"58482350";
"021200";"площадь Покровские Ворота";"пл. Покровские Ворота";"ploshhad` Pokrovskie Vorota";"004";"";"0102";"77000000000377400";"58482351";
"021220";"Покровский бульвар";"Покровский бульв.";"Pokrovskij bul`var";"008";"";"0102";"77000000000232400";"58482352";
"021225";"Покровская улица";"Покровская ул.";"Pokrovskaya ulicza";"001";"";"0512";"77000000000745300";"58482353";
"021232";"2-я Покровская улица";"2-я Покровская ул.";"Vtoraya Pokrovskaya ulicza";"001";"";"0621";"77000000000377300";"58482354";
"021240";"улица Покрышкина";"ул. Покрышкина";"ulicza Pokry'shkina";"001";"";"0817";"77000000000232500";"58482355";
"021280";"улица Лётчика Полагушина";"ул. Лётчика Полагушина";"ulicza Lyotchika Polagushina";"001";"";"1009;1011";"77000002000457500";"58482356";
"021290";"улица Полбина";"ул. Полбина";"ulicza Polbina";"001";"";"0511";"77000000000020700";"58482357";
"021297";"Полевой переулок";"Полевой пер.";"Polevoj pereulok";"002";"";"0813";"77000000000233000";"58482358";
"021299";"Полевая улица";"Полевая ул.";"Polevaya ulicza";"001";"";"0813";"77000000033392000";"58482359";
"021301";"Полевая улица";"Полевая ул.";"Polevaya ulicza";"001";"";"0711";"77000000000232700";"58482360";
"021310";"1-й Полевой переулок";"1-й Полевой пер.";"Pervy'j Polevoj pereulok";"002";"";"0418";"77000000000341600";"58482361";
"021311";"2-й Полевой переулок";"2-й Полевой пер.";"Vtoroj Polevoj pereulok";"002";"";"0418";"77000000000232900";"58482362";
"021313";"4-й Полевой переулок";"4-й Полевой пер.";"Chetvyorty'j Polevoj pereulok";"002";"";"0418";"77000000000341700";"58482363";
"021350";"улица Поленова";"ул. Поленова";"ulicza Polenova";"001";"";"0214";"77000000000233100";"58482364";
"021360";"Полесский проезд";"Полесский пр.";"Polesskij proezd";"003";"";"0903";"77000000000233200";"58482365";
